powerTypes
PowerName,PowerID,OrderID,DevNotes,MissionTags,Priority,CastSoundEvent,HitSoundEvent,ItemHitSoundEvent,TargetMethod,ParentItem,OriginPower,IsAirPower,IsSignature,IsAntiair,SigModeSwapsMove,AoERadiusX,AoERadiusY,CenterOffsetX,CenterOffsetY,CastImpulseX,CastImpulseY,FireImpulseX,FireImpulseY,FireImpulseMaxX,ImpulseMaxOnDCOnly,SpeedLimit,SpeedLimitY,SpeedLimitAttack,SpeedLimitBackward,SpeedLimitAttackBackward,SelfImpulseOnHit,EndOnHit,CancelGravity,WallCancel,AllowMove,AllowRecoverMove,AllowJumpDuringRecover,AllowLeaveGround,AllowHitOnZeroDamage,AccelMult,BackwardAccelMult,TurnOffDampening,KeepGroundFriction,IgnoreGroundRestrict,DoNotBounceOffNoSlideCeiling,NoSlideCeilingBuffer,CastAnim,Hurtbox,CastTime,FixedRecoverTime,RecoverTime,AntigravTime,GCancelTime,IgnoreForcedFallTime,ShowCloudTime,CooldownTime,IgnoreCDOverride,OnHitCooldownTime,ShakeTime,DisableShake,OnlyShakeOnce,ShakeAllCams,FixedMinChargeTime,MinCancelTime,LoseInvulnTime,BaseDamage,VariableImpulse,FixedImpulse,MinimumImpulse,PostHitDamageMultiplier,PostHitImpulseMultiplier,ImpulseOffsetX,ImpulseOffsetY,ImpulseOffsetMaxX,ImpulseToPoint,ToPointChangeX,ToPointChangeY,ToPointChangeDmg,LockTo45Degrees,DownwardForceMult,MirrorImpulseOffset,MirrorOffsetCenter,IgnoreStrength,AcceptInput,HeldDirOffsets,DIMaxAngle,ImpulseOnHeavy,ItemSpeedDamage,ItemSpeedImpulse,ItemHitElasticity,AirTimeMultOnly,IsMultihit,MinTimeBetweenHits,InheritAlreadyHit,InterruptThreshold,CanDamageEveryone,CanAssist,ConsumesWeapon,FixedStunTime,HoldHitEnts,HoldOffsetX,HoldOffsetY,UpdateHeldEnts,DestroysItemOnHit,GrabInterpolateTime,GrabAnim,GrabAnimSpeed,GrabForceUpdate,Uninterruptable,CanChangeDirection,ComboName,ComboOverrideIfHit,ComboOverrideIfRelease,ComboOverrideIfWall,ComboOverrideIfButton,OriginOverrideIfInMode,ComboOverrideIfDir,ComboOverrideIfInterrupt,IgnoreButtonOnHit,IgnoreButtonOnMiss,ComboUseSameTargetPos,UseCollisionAsTargetPos,ComboUseTargetAsSource,ComboUseSameSourcePos,BGPowerOnFire,BGCastIdx,AllowBGInterrupt,PopulateActivePowerHits,PopulateBGHits,ExhaustedVersion,GCVersion,MomentumVersion,TeamTauntPower,AnimLayer,FXLayer,IsWorldCastGfx,CustomArtCastGfx,DelayCastGfxToFirstFire,DelayCastGFXCleanUp,CastAnimSource,DoNotSendSync,IsThrow,CannotAttackAroundCorners,ForceHitThroughSoftPlat,ForceFaceRight,CollisionPowerOffSetX,CollisionPowerOffSetY,CastGfx.AnimFile,CastGfx.AnimClass,CastGfx.AnimScale,CastGfx.FireAndForget,CastGfx.MoveAnimSpeed,CastGfx.FlipAnim,CastGfx.Tint,CastGfxRotation,IsWorldFireGfx,IsAttackFireGfx,CustomArtFireGfx,FireAnimSource,FireGfx.AnimFile,FireGfx.AnimClass,FireGfx.AnimScale,FireGfx.FireAndForget,FireGfx.MoveAnimSpeed,FireGfx.FlipAnim,FireGfx.Tint,FireGfxRotation,IsWorldHitGfx,OnlyOnceHitGfx,OwnerFacingHitGfx,PlayHitGfxBehind,HitAnimSource,HitReactAnim,HitGfx.AnimFile,HitGfx.AnimClass,HitGfx.AnimScale,HitGfx.FireAndForget,HitGfx.Tint
CannonDownMiss,1119,,Cannon Down Light - recover on miss,,,,,,PBAoE,Cannon,CannonDown,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,CannonDLight,,1,14@end14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
CannonAir,1120,,Cannon Neutral Air - shot,"Cannon,Aerial",,WEP_Cannon_Fire_Play,IMP_Cannon_B_Play,,RangedAoE,Cannon,,TRUE,,TRUE,,"69&59&47&32,71&98&73,82&89","37&34&42&31,31&48&40,49&63","16&1&3&73,22&14&40,27&23","-214&-172&-263&-224,-274&-235&-197,-247&-211",,,"0,!,!","0,!,!",,,,,,,,,,,,TRUE,,,,,.85,,,,,,,F:AttackAir09a,CannonNAir,"13:1@4,0:2@4,0:1@5-5",,0,,,,,16,,12,,,,,,,,"16,16,0","53,53,0","35,35,0",60,,,300,-1250,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,CannonAirGroundCheck,CannonAirHit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,true,,,First:Feet,SFX_Cannon.swf,a_CannonWorldBurst02,1,true,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact_Random_1_4,1.5,true,
CannonAirHit,1121,,Cannon Neutral Air - recover on hit,,,,,,Nobody,Cannon,CannonAir,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,.85,,,,,,,,CannonNAir,0@6,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CannonAirGroundCheck,1122,,Cannon Neutral Air - test for ground landing on miss,,,,,,GroundCheck,Cannon,CannonAir,TRUE,,,,10,10,9,110,,,,,,,,,,,,,,,,TRUE,,,,,.85,0,,,,,,,CannonNAir,5:6,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CannonAirMiss,,CannonAirGround,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CannonAirGround,1123,,Cannon Neutral Air - recover on ground landing miss,,,,,,Nobody,Cannon,CannonAir,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,.85,0,,,,,,JumpLand,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CannonAirMiss,1351,,Cannon Neutral Air - recover on aerial miss,,,,,,Nobody,Cannon,CannonAir,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,.85,0,,,,,,,CannonNAir,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CannonAirSide,1124,,Cannon Side Air - horizontal propulsion and multihit,"Cannon,Aerial",,WEP_Cannon_Propulsion_Play,Once:IMP_Cannon_Play,,GroundPoundHB,Cannon,,TRUE,,,,"32&36,32&56,34&36,37&44&15&15","56&41,56&32,56&41,56&32&36&15","167&120,167&99,169&120,138&111&174&185","-18&-21,-18&-21,-18&-21,-20&-22&-22&-24",,,"0,105,!,!","0,-10,!,!","0,115,!,!",,,,,,,,,,,TRUE,,,,,,0.9,,,,,,AttackAir02,CannonSAir,"8:5@5,0@7,0:2@7,0:1@8",,0,,,,,20,,15,,,,,,,,"0,1,t2,t1",0,"0,140,140,140",,,,"280,250,250,250","0,-40,-40,-40",,15,,,,,,,,,,,,,,,,,true,,,,,,,19,,,,,,,,,,,,CannonAirSideCombo,,,CannonAirSideCombo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,true,,,First:Feet,SFX_Cannon.swf,a_cannonWorldBurst01,1,true,,,,,,,,,,,,,,,
CannonAirSideCombo,1125,,Cannon Side Air - final hit,,,,,,PBAoE,Cannon,CannonAirSide,TRUE,,,,37&46&15&15,56&41&36&15,138&109&174&185,-20&-17&-22&-24,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,CannonSAir,0@8,,0,,,,,,,,,,,,,,,12,43,65,60,,,3100,-1500,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,CannonAirSideMiss,CannonAirSideHit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
CannonAirSideHit,1126,,Cannon Side Air - recover on hit,,,,,,Nobody,Cannon,CannonAirSide,TRUE,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,0.9,,,,,,,CannonSAir,0@9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CannonAirSideMiss,1127,,Cannon Side Air - recover on miss,,,,,,Nobody,Cannon,CannonAirSide,TRUE,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,0.9,,,,,,,CannonSAir,0@9,3,16,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CannonAirDown,2131,,Cannon Down Air - ground check before blast,"Cannon,Aerial",,WEP_Cannon_v2_Swing_Down_Air_Play,Once:IMP_Cannon_B_Play,,GroundCheck,Cannon,,TRUE,,,,10,10,202,130,,,!,!,,,,,,,,,,,,TRUE,,,,,.85,0.55,,,,,,AttackAir21,CannonDAir,14:0@4,,0,,,,,16,,14,,,,,,,,1,0,0,80,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CannonAirDownCombo,,CannonAirDownComboGround,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CannonAirDownCombo,2132,,Cannon Down Air - air blast,,,WEP_Cannon_Swing_B_Play,Once:IMP_Cannon_B_Play,,PBAoE,Cannon,CannonAirDown,TRUE,,,,53&58,92&54,110&162,23&61,,,20,33,58,,,,,,,,,,,TRUE,,,,,.85,0.55,,,,,,,CannonDAir,0:1@5,,0,,,,,,,,,,,,,,,16,44,20,80,,,2600,2200,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,CannonAirDownCombo2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
CannonAirDownCombo2,2133,,Cannon Down Air - air blast,,,,,,RangedAoE,Cannon,CannonAirDown,TRUE,,,,"64&73&35&25&57,78&55&43","60&72&32&19&39,102&53&40","170&202&125&100&236,126&193&242","65&88&21&3&129,71&151&199",,,20,15,58,,,,,,,,,,,TRUE,,,,,.85,0.55,,,,,,,CannonDAir,"0:1@6,0:0@7",,0,,,,,,,,,,,,,,,"16,0","44,0","20,0",80,,,2600,"2200,2000",,,,,,,,,,,,,,,,,,,,,true,,,,,17,,,,,,,,,,,,CannonAirDownMiss,CannonAirDownHit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,true,,,First:Feet,SFX_Cannon.swf,a_IWFXCannonAttackAir21,1,true,,,,,TRUE,TRUE,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
CannonAirDownComboGround,2134,,Cannon Down Air - ground blast,,,WEP_Cannon_Swing_B_Play,Once:IMP_Cannon_B_Play,,PathExplosion,Cannon,CannonAirDown,TRUE,,,,"39&27&21,44&53&27,61&30","45&37&24,44&37&34,54&42","2&37&70,73&124&31,128&74","-61&-42&-26,-54&-77&-37,-72&-64",,,"!,!,0",!,,,,,,,,,,,,FALSE,,,,,.85,0.55,,,,,,AttackAir21Ground,CannonDAirGround,"0:1@1,0:2@2,0:1@3",,0,,,,,,,,,,,,,,,16,44,20,80,,,2600,-2200,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,CannonAirDownMissGround,CannonAirDownHitGround,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,true,,,First:TargetPos,SFX_Cannon.swf,a_IWFXCannonAttackAir21Ground,0.8,true,,,,,TRUE,TRUE,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
CannonAirDownHit,2135,,Cannon Down Air - recover on hit,,,,,,Nobody,Cannon,CannonAirDown,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,.85,0.55,,,,,,,CannonDAir,5:2,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CannonAirDownMiss,2136,,Cannon Down Air - recover on miss and aerial,,,,,,Nobody,Cannon,CannonAirDown,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,.85,0.55,,,,,,,CannonDAir,5:2,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CannonAirDownHitGround,2137,,Cannon Down Air - recover on hit (ground version),,,,,,Nobody,Cannon,CannonAirDown,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,.85,0.55,,,,,,,CannonDAirGround,0,,8,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CannonAirDownMissGround,2138,,Cannon Down Air - recover on miss (ground version),,,,,,Nobody,Cannon,CannonAirDown,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,.85,0.55,,,,,,,CannonDAirGround,0@4,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CannonAirUpHeavy,1135,,Cannon Recover - swing,"Cannon,Aerial",,WEP_Cannon_Swing_B_Play,IMP_Cannon_Play,,PBAoE,Cannon,,TRUE,,TRUE,,"0,41&70&85&20&74,36&56&53,112&89&81","0,62&60&26&21&15,28&25&21,43&53&51","0,228&207&189&110&184,177&144&179,120&138&189","0,-135&-100&-92&-83&-54,-205&-212&-198,-191&-194&-168",,,"48,40,!,!","-68,!,!,-30","85,46,!,!",,,,,,,,,,,,,,TRUE,,,0.68,,,,,,AttackAir01d,CannonRec,"10@2,8:4@5,0:1@7,0@9",,22,,,,,12,,10,,,,,,,,"0,20,20,0","0,53,53,0","0,50,50,0",,,,"0,800,800,800","0,-900,-1300,-1300",,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CannonAirUpHeavyExhaust,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
CannonAirUpHeavyExhaust,1138,,Cannon Recover - exhausted version of swing,,,WEP_Cannon_Swing_A_Play,IMP_Cannon_Play,,PBAoE,Cannon,CannonAirUpHeavy,TRUE,,TRUE,,"0,41&70&85&20&74,36&56&53,112&89&81","0,62&60&26&21&15,28&25&21,43&53&51","0,228&207&189&110&184,177&144&179,120&138&189","0,-135&-100&-92&-83&-54,-205&-212&-198,-191&-194&-168",,,"35,35,!,!","-44,!,!,!","70,46,!,!",,,,,,,,,,,,,,TRUE,,,0.68,,,,,,AttackAir01d,CannonRec,"10@2,8:4@5,0:1@7,0@9",,22,,,,,,,,,,,,,,,"0,20,20,0","0,53,53,0","0,50,50,0",,,,"0,800,800,800","0,-900,-1300,-1300",,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
CannonGroundPound,1139,,Cannon Ground Pound - the start and fall,"Cannon,Aerial",,WEP_Cannon_GroundPound_Swing_Play,,,MeteorPound,Cannon,,TRUE,,,,"1&15,1&28&15,1&28,1&28","20&19,20&19&57,20&25,20&16","-30&-30,-2&-30&-30,-2&-30,-2&-30","180&116,155&115&51,155&109,155&118",,,0,"10~25~37,71~96,71~96,96","40~30~10,0,0,0",,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,L:AttackAir11,CannonGP,"9:5@4,5:1@8,0:36,0:313",,0,,,,,23,,16,,,,,21,,,"0,1,1,1",0,"0,48,48,48",,,,0,"220,220~330,220~330,330",,14,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,CannonGroundPoundCombo,CannonGroundPoundHit,CannonGroundPoundRelease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CannonGroundPoundRelease,1140,,Cannon Ground Pound - shot on ground collision,,,WEP_Cannon_Fire_Play,,,MeteorPoundRelease,Cannon,CannonGroundPound,TRUE,,,,"80,43&56","80,36&33","80,-25&-26","0,136&155",0,48,0,"!,-2~0",,,,,,,,,,TRUE,,,,,TRUE,,2,,,,,,,AttackAir11Hit,CannonGP2,"0@1,1:4@3",,0,,,,,,,,,,,,,,,"0,1",0,"0,48",,,,0,220,,12,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,CannonGroundPoundHit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CannonGroundPoundHit,1141,,Cannon Ground Pound - first frame of shot on hit,,,WEP_Cannon_Fire_Play,,,MeteorPoundRelease,Cannon,CannonGroundPound,TRUE,,,,"80,43&56","80,34&33","80,-25&-26","0,138&155",0,0,0,"0,-2~0",,,,,,,,,,TRUE,,,,,TRUE,,2,,,,,,,AttackAir11Hit,CannonGP2,"0@1,4:4@3",,0,,,,,,,,,,,,,,,"0,1",0,"0,48",,,,0,220,,12,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,CannonGroundPoundHit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CannonGroundPoundHit2,1175,,Cannon Ground Pound - bloom of shot on hit,,,,IMP_Cannon_B_Play,,RangedAoE,Cannon,CannonGroundPound,TRUE,,,,"29&42&18,20&29&40&18,20&29&40&18","39&74&54,40&56&74&54,40&56&74&54","-18&-9&-4,-23&-18&-11&-4,-23&-18&-11&-4","65&115&159,27&48&115&159,27&48&115&159",,,!,"-18~-12,!,3",,,,,,,,,,TRUE,,,TRUE,,TRUE,,2,,,,,,,,CannonGP2,"0:4@5-6,0:1@7,0",,25,,,,,,,,,,,,,,,"22,0,0","47,0,0","50,0,0",75,,,95,850,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,true,,,First:Feet,SFX_Cannon.swf,a_CannonWorldBurst04,1,true,,,,,,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReactExplosion01,1,true,
CannonGroundPoundCombo,1176,,Cannon Ground Pound - first frame of shot on release,,,WEP_Cannon_Fire_Play,,,RangedAoE,Cannon,CannonGroundPound,TRUE,,,,"80,52&103&89,66&115","80,17&15&15,29&20","80,6&-9&-28,37&-27","0,50&84&64,61&80",0,48,0,"180~75~75,120~0,0",,,,,,,,,,TRUE,,,,,TRUE,,2,,,,,,,AttackAir11GroundHit2,CannonGP3,"0:2@1,0:1@3,0:2@4",,0,,,,,,,,,,,,,,,"0,1,1",0,"0,6,6",,,,0,"220,87,87",,12,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,CannonGroundPoundCombo2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,true,,,#3:Feet,SFX_Cannon.swf,a_swooshCannonInWorld01,1,true,,,,,,,,,,,,,,,
CannonGroundPoundCombo2,1177,,Cannon Ground Pound - bloom of shot on release,,,,IMP_Cannon_B_Play,,RangedAoE,Cannon,CannonGroundPound,TRUE,,,,"98&127,20&35&47&27","18&26,40&56&76&49","3&-20,-23&-20&-15&-11","40&75,27&61&142&200",,,!,"0~-40~-28~-25~-14,!",,,,,,,,,,TRUE,,,TRUE,,TRUE,,2,,,,,,,,CannonGP3,"0:4@5,0:2",,25,,,,,,,,,,,,,,,"22,0","50,0","61,0",75,,,"950,0","-335,0",,,,,,,,TRUE,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReactExplosion01,1,true,
CannonThrown,1349,,Cannon - Hit power if thrown,"Cannon,Thrown",,WEP_Unarmed_Punch_Light_Play,IMP_Cannon_Play,,ThrownItem,ThrowCannon,CannonThrownCombo1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,.04,.4,,,,,,,true,,,15,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1.5,true,
CannonThrownCombo1,1350,,HitStop before Cannon Thrown hit,,,WEP_Unarmed_Punch_Heavy_Play,,,ThrownItem,ThrowCannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,0:2,,0,,,,,,,,,,,,,,,0,0,-1,,,,0,0,,,,,,,,,,,,,,,0,0,,,,,,,true,,,6,,,,,,,,,,,,CannonThrown,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrbNeutral,1065,34,Orb Neutral Light - first hit,Orb,,WEP_Orb_Neutral_A_Play,IMP_Orb_Play,,PBAoE,Orb,,,,,,"32&27&23&21,79&15","28&30&31&42,58&34","88&124&153&170,109&32","41&20&-12&-61,-72&-75",,,0,0,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,AttackNeutral,OrbNLight,"8:2@4,0:2@5",,,,,999,13,14,,10,,,,,,,5,7,0,40,,,,127,-20,,20,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,OrbNeutralCombo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact_Random_1_4,1,true,
OrbNeutralCombo,1066,34,Orb Neutral Light - second hit (send),,,WEP_Orb_Neutral_B_Play,IMP_Orb_Play,,PBAoE,Orb,OrbNeutral,,,,,"80,22&23&18&22,22&48&18&15","80,26&20&16&22,20&33&15&15","80,178&143&111&170,89&142&62&40","0,-42&18&40&-10,-71&-76&-54&-33",,,0,0,,,,,,,,,,,,,,,TRUE,,,,,,,,,,OrbNLight,"0@6,8:2@9,0:2@10",,,,,999,13,,,,,,,,,,,"0,7,7","0,40,40","0,45,45",,,,1000,-300,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,OrbNeutralMiss,OrbNeutralHit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1,true,
OrbNeutralHit,1067,34,Orb Neutral Light - recover on hit,,,,,,Nobody,Orb,OrbNeutral,,,,,,,,,,,0,0,,,,,,,,,,,,,,,TRUE,,,,,,,,,,OrbNLight,0@11,6@16,,,2,,0,,,,,,,,,,,0,0,0,,,,1000,-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrbNeutralMiss,1069,34,Orb Neutral Light - recover on miss,,,,,,Nobody,Orb,OrbNeutral,,,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,TRUE,,,,,,,,,,OrbNLight,0@11,2,15@17,,2,,0,,,,,,,,,,,0,0,0,,,,1000,-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrbSide,1072,20,Orb Side Light - side attack,Orb,,WEP_Orb_Side_Play,IMP_Orb_Play,,PBAoE,Orb,,,,,,"80,27&86,29&22&15&15,32&15&9","80,21&15,29&17&15&15,31&15&9","80,175&94,242&220&186&156,249&221&202","0,49&54,1&27&40&50,-4&26&42",,,"150~0,180~5~5,88~0~0,0",0,,,,,,,,,,,,,,,TRUE,,,,,,,,,AttackSide5,OrbSLight,"6:1@4,3:2@6,0:2@7,0:1@8",,,,,,12,10,,9,,TRUE,,,,,7,"0,8,8,8",0,"0,120,120,120",,,,"0,322,281,281",-40,,18,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,OrbSideMiss,OrbSideHit,,,,,,,,,,,,,,,,,,,,,,TOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrbSideMiss,1486,20,Orb Side Light - combo on miss,,,,,,PBAoE,Orb,OrbSide,,,,,"25,25,26",25,"218,218,172","-15,-13,-19",,,"98~0,0,130~0~0",0,,,,,,,,,,,,,,,TRUE,,,,,,,,,,OrbSLight,"0:1@9,0:1@10,0:2@11",,,,,,0,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,25,,,,,,,,,,,,OrbSideMiss2,,,,,,,,,,,,,,,,,,,,,,,TOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact01,1,true,
